day_of_week,date,nb_customers_on_day,open,promotion,school_holiday,state_holiday_a,state_holiday_b,state_holiday_c,predictions
7,2015,0,0,0,0,False,False,False,0.0
7,2013,0,0,0,0,False,False,False,0.0
3,2014,657,1,1,0,False,False,False,7068.689512129886
2,2013,862,1,0,0,False,False,False,6034.468781086558
3,2014,591,1,1,0,False,False,False,6269.743085068103
4,2014,569,1,0,0,False,False,False,4584.72685329295
1,2015,321,1,1,0,False,False,False,4239.799999999999
6,2014,1367,1,0,0,False,False,False,9776.152999999998
4,2015,0,0,1,0,True,False,False,0.0
2,2015,546,1,1,0,False,False,False,6594.963478049728
4,2015,968,1,0,1,False,False,False,8245.600345238097
4,2013,472,1,0,0,False,False,False,4280.270125923098
7,2014,0,0,0,0,False,False,False,0.0
1,2013,965,1,0,0,False,False,False,7186.976357142856
2,2015,804,1,0,1,False,False,False,8030.9315000000015
3,2013,499,1,1,1,False,False,False,5384.406356643356
1,2013,1337,1,1,1,False,False,False,11504.725365079365
3,2014,560,1,0,0,False,False,False,4682.109218963278
3,2014,461,1,0,1,False,False,False,4381.618248605196
3,2014,866,1,1,0,False,False,False,8339.281550358368
7,2015,0,0,0,0,False,False,False,0.0
1,2014,1367,1,1,0,False,False,False,13000.199448412699
2,2013,642,1,1,0,False,False,False,6858.1655689820145
5,2013,0,0,1,1,False,True,False,0.0
6,2013,1139,1,0,0,False,False,False,8142.376857142859
6,2014,0,0,0,0,False,False,False,0.0
2,2013,515,1,1,1,False,False,False,6518.547822510823
3,2013,355,1,1,1,False,False,False,4207.301242063491
1,2015,1063,1,1,0,False,False,False,12943.206210317458
7,2013,0,0,0,0,False,False,False,0.0
4,2015,562,1,1,0,False,False,False,5781.47371031746
7,2014,0,0,0,0,False,False,False,0.0
2,2013,927,1,1,1,False,False,False,8814.039833333332
6,2014,894,1,0,0,False,False,False,8791.113447469199
2,2015,594,1,0,0,False,False,False,4762.379506632256
2,2013,533,1,1,0,False,False,False,6225.205331768276
7,2015,0,0,0,0,False,False,False,0.0
2,2013,709,1,1,0,False,False,False,7889.429609339489
1,2013,484,1,1,0,False,False,False,6281.4437857142875
4,2014,435,1,1,0,False,False,False,5123.345678571429
2,2015,1239,1,1,0,False,False,False,10564.570714285715
6,2014,373,1,0,0,False,False,False,3292.4472059310024
4,2013,642,1,0,0,False,False,False,5906.5031716200465
3,2013,421,1,1,0,False,False,False,4216.975272547715
5,2014,394,1,0,0,False,False,False,4014.276033702407
5,2015,761,1,1,0,False,False,False,7760.122318542565
3,2013,627,1,0,0,False,False,False,5586.351618671533
2,2015,731,1,1,0,False,False,False,7362.915881746524
5,2014,941,1,1,1,False,False,False,8143.774226190478
4,2014,1157,1,1,0,False,False,False,10608.296952380955
1,2014,720,1,1,0,False,False,False,7887.318038739039
5,2014,697,1,0,0,False,False,False,6190.279979076477
6,2013,534,1,0,0,False,False,False,5249.718934906389
6,2014,333,1,0,0,False,False,False,3128.1215903622647
2,2013,430,1,1,1,False,False,False,4629.983511904761
